City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
640,Itarema,BR,77.31,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
642,Buenaventura,CO,75.11,light rain,3.8801,-77.0312,Hotel Victoria
643,Point Fortin,TT,79.86,broken clouds,10.1833,-61.6833,Jus Les' Suites
645,Wukari,NG,80.96,light rain,7.85,9.7833,Elimtop
649,Bossangoa,CF,75.11,light rain,6.4926,17.4552,LA PERLE DE BOSTON
653,Sinnamary,GF,77.34,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
654,Merauke,ID,80.42,heavy intensity rain,-8.4667,140.3333,
662,Svay Rieng,KH,81.07,overcast clouds,11.0879,105.7993,Apsara guesthouse
664,Wanning,CN,77.45,broken clouds,18.8003,110.3967,Paradise Hotel
666,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
669,Prabumulih,ID,75.24,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
673,Karwar,IN,78.49,few clouds,14.8,74.1333,Netalco Connects
679,Hobyo,SO,82.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
682,Sawakin,SD,80.73,clear sky,19.1059,37.3321,فندق الدويم
685,Saint-Paul,RE,75.29,clear sky,-21.0096,55.2707,Boucan Canot
686,Venezuela,VE,88.21,overcast clouds,8.0,-66.0,
689,Bhimunipatnam,IN,81.91,broken clouds,17.8833,83.4333,Bheemili Court
691,Tebingtinggi,ID,76.39,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
692,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
