City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
323,Salalah,17.0151,54.0924,82.49,83,75,3.44,OM,2022-04-18 00:11:14,broken clouds
324,Vargem Alta,-20.6714,-41.0069,61.68,94,73,1.59,BR,2022-04-18 00:11:15,broken clouds
325,Sayansk,54.1088,102.1648,46.54,66,92,3.18,RU,2022-04-18 00:11:15,overcast clouds
326,Kem,64.9555,34.5793,32.81,97,100,4.14,RU,2022-04-18 00:11:16,overcast clouds
327,Nuzvid,16.7833,80.85,78.69,81,34,1.34,IN,2022-04-18 00:12:16,scattered clouds
328,Bedesa,8.9,40.7833,64.13,72,89,1.63,ET,2022-04-18 00:12:17,overcast clouds
329,Yulara,-25.2406,130.9889,72.91,30,5,7.96,AU,2022-04-18 00:12:17,clear sky
330,Gangoh,29.7667,77.25,76.66,19,13,4.79,IN,2022-04-18 00:12:17,few clouds
331,Burns Lake,54.2331,-125.7533,44.87,33,46,2.57,CA,2022-04-18 00:12:18,scattered clouds
332,Anklam,53.8564,13.6897,39.06,83,16,2.01,DE,2022-04-18 00:12:18,few clouds
333,Gat,31.61,34.7642,86.68,12,12,19.64,IL,2022-04-18 00:12:19,few clouds
334,Springbok,-29.6643,17.8865,61.48,39,0,7.74,ZA,2022-04-18 00:12:19,clear sky
335,Jurm,36.8648,70.8342,59.02,42,62,2.82,AF,2022-04-18 00:12:19,broken clouds
336,Piacabucu,-10.4056,-36.4344,79.95,79,19,10.25,BR,2022-04-18 00:12:20,few clouds
337,Dir,35.2058,71.8756,62.98,39,47,7.27,PK,2022-04-18 00:12:20,scattered clouds
338,Mugan,35.9404,101.3842,33.69,56,26,3.71,CN,2022-04-18 00:12:20,scattered clouds
339,Darhan,49.4867,105.9228,48.02,34,49,11.12,MN,2022-04-18 00:12:21,scattered clouds
340,Aklavik,68.2191,-135.0107,21.07,77,95,13.44,CA,2022-04-18 00:12:21,overcast clouds
